DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
2/12/2025 6:05:34 PM,2,1739408734000,41.900,13.672,-13.000,-9.781,0.030,-0.021,0.754,0,0,-4,0.935,5,-1.000,0.864,1.460,0.000,0x1fff
2/12/2025 6:15:34 PM,2,1739409334000,37.400,13.648,-14.438,-11.171,0.031,-0.021,0.754,0,0,-6,0.937,5,-1.000,0.862,1.460,0.000,0x1fff
2/12/2025 6:25:34 PM,2,1739409934000,41.800,13.632,-15.313,-11.842,0.030,-0.020,0.754,0,0,-7,0.937,5,-1.000,0.862,1.460,0.000,0x1fff
2/12/2025 6:35:34 PM,2,1739410534000,39.000,13.616,-16.000,-12.561,0.031,-0.020,0.754,0,0,-8,0.938,5,-1.000,0.861,1.460,0.000,0x1fff
2/12/2025 6:45:34 PM,2,1739411134000,42.200,13.592,-16.625,-13.280,0.031,-0.019,0.754,0,0,-8,0.938,5,-1.000,0.861,1.460,0.000,0x1fff
2/12/2025 6:55:34 PM,2,1739411734000,41.800,13.572,-17.000,-13.615,0.030,-0.019,0.753,0,0,-9,0.938,5,-1.000,0.861,1.460,0.000,0x1fff
2/12/2025 7:05:34 PM,2,1739412334000,42.500,13.560,-17.000,-13.615,0.031,-0.019,0.753,0,0,-8,0.938,5,-1.000,0.861,1.460,0.000,0x1fff
2/12/2025 7:15:34 PM,2,1739412934000,42.500,13.544,-17.000,-13.567,0.032,-0.020,0.753,0,0,-9,0.938,5,-1.000,0.861,1.460,0.000,0x1fff
2/12/2025 7:25:34 PM,2,1739413534000,42.000,13.532,-17.688,-14.286,0.031,-0.019,0.753,0,0,-9,0.939,5,-1.000,0.860,1.460,0.000,0x1fff
2/12/2025 7:35:34 PM,2,1739414134000,41.400,13.516,-17.625,-14.142,0.031,-0.019,0.753,0,0,-10,0.939,5,-1.000,0.860,1.460,0.000,0x1fff
2/12/2025 7:45:34 PM,2,1739414734000,42.300,13.504,-16.125,-12.896,0.031,-0.020,0.753,0,0,-8,0.937,5,-1.000,0.862,1.460,0.000,0x1fff
2/12/2025 7:55:34 PM,2,1739415334000,43.000,13.492,-16.625,-13.088,0.032,-0.020,0.753,0,0,-8,0.938,5,-1.000,0.861,1.460,0.000,0x1fff
2/12/2025 8:05:34 PM,2,1739415934000,42.800,13.480,-17.563,-14.190,0.032,-0.019,0.753,0,0,-10,0.939,5,-1.000,0.860,1.460,0.000,0x1fff
2/12/2025 8:15:34 PM,2,1739416534000,41.200,13.472,-18.438,-14.861,0.032,-0.019,0.752,0,0,-10,0.940,6,-1.000,0.859,1.460,0.000,0x1fff
2/12/2025 8:25:34 PM,2,1739417134000,38.900,13.460,-18.688,-15.532,0.032,-0.018,0.752,0,0,-11,0.940,5,-1.000,0.859,1.460,0.000,0x1fff
2/12/2025 8:35:34 PM,2,1739417734000,39.400,13.448,-18.375,-15.053,0.032,-0.019,0.752,0,0,-11,0.940,5,-1.000,0.859,1.460,0.000,0x1fff
2/12/2025 8:45:34 PM,2,1739418334000,42.900,13.440,-18.750,-15.436,0.032,-0.019,0.752,0,0,-11,0.940,5,-1.000,0.859,1.460,0.000,0x1fff
2/12/2025 8:55:34 PM,2,1739418934000,43.100,13.428,-19.313,-15.963,0.032,-0.018,0.752,0,0,-11,0.940,5,-1.000,0.859,1.460,0.000,0x1fff
2/12/2025 9:05:34 PM,2,1739419534000,38.600,13.428,-19.500,-16.107,0.032,-0.018,0.752,0,0,-12,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/12/2025 9:15:34 PM,2,1739420134000,42.500,13.412,-19.250,-15.963,0.032,-0.018,0.752,0,0,-11,0.940,5,-1.000,0.859,1.460,0.000,0x1fff
2/12/2025 9:25:34 PM,2,1739420734000,42.400,13.404,-18.063,-14.717,0.031,-0.018,0.752,0,0,-10,0.939,5,-1.000,0.860,1.460,0.000,0x1fff
2/12/2025 9:35:34 PM,2,1739421334000,41.200,13.392,-17.625,-14.094,0.031,-0.019,0.751,0,0,-9,0.939,6,-1.000,0.860,1.460,0.000,0x1fff
2/12/2025 9:45:34 PM,2,1739421934000,42.500,13.388,-18.750,-15.532,0.032,-0.018,0.751,0,0,-10,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/12/2025 9:55:34 PM,2,1739422534000,42.700,13.384,-19.500,-16.107,0.032,-0.018,0.751,0,0,-11,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/12/2025 10:05:34 PM,2,1739423134000,35.300,13.380,-19.938,-16.491,0.032,-0.017,0.751,0,0,-12,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/12/2025 10:15:34 PM,2,1739423734000,42.400,13.368,-20.375,-16.970,0.032,-0.017,0.751,0,0,-12,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/12/2025 10:25:34 PM,2,1739424334000,41.100,13.360,-20.688,-17.018,0.033,-0.017,0.751,0,0,-12,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/12/2025 10:35:34 PM,2,1739424934000,40.400,13.352,-20.875,-17.689,0.033,-0.016,0.751,0,0,-13,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/12/2025 10:45:34 PM,2,1739425534000,42.500,13.352,-21.063,-17.689,0.033,-0.017,0.751,0,0,-13,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/12/2025 10:55:34 PM,2,1739426134000,39.600,13.340,-21.250,-17.785,0.033,-0.015,0.751,0,0,-13,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/12/2025 11:05:34 PM,2,1739426734000,38.900,13.336,-21.500,-17.976,0.033,-0.015,0.750,0,0,-14,0.943,5,-1.000,0.856,1.460,0.000,0x1fff
2/12/2025 11:15:34 PM,2,1739427334000,42.300,13.328,-21.500,-18.072,0.033,-0.016,0.750,0,0,-14,0.943,5,-1.000,0.856,1.460,0.000,0x1fff
2/12/2025 11:25:34 PM,2,1739427934000,42.500,13.324,-21.375,-17.880,0.033,-0.016,0.750,0,0,-14,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/12/2025 11:35:34 PM,2,1739428534000,40.000,13.320,-21.438,-18.312,0.033,-0.016,0.750,0,0,-14,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/12/2025 11:45:34 PM,2,1739429134000,39.100,13.316,-21.375,-17.976,0.032,-0.015,0.750,0,0,-13,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/12/2025 11:55:34 PM,2,1739429734000,42.700,13.316,-21.688,-18.216,0.033,-0.016,0.750,0,0,-14,0.943,5,-1.000,0.856,1.460,0.000,0x1fff
2/13/2025 12:05:34 AM,2,1739430334000,38.000,13.308,-21.188,-17.832,0.032,-0.016,0.750,0,0,-13,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/13/2025 12:15:34 AM,2,1739430934000,39.700,13.304,-20.688,-17.018,0.033,-0.016,0.750,0,0,-13,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/13/2025 12:25:34 AM,2,1739431534000,43.000,13.300,-20.438,-16.970,0.033,-0.018,0.749,0,0,-13,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/13/2025 12:35:34 AM,2,1739432134000,42.400,13.300,-20.875,-17.497,0.032,-0.017,0.749,0,0,-13,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/13/2025 12:45:34 AM,2,1739432734000,35.100,13.292,-21.188,-17.832,0.032,-0.015,0.749,0,0,-13,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/13/2025 12:55:34 AM,2,1739433334000,42.500,13.292,-20.875,-17.545,0.033,-0.016,0.749,0,0,-13,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/13/2025 1:05:34 AM,2,1739433934000,42.900,13.288,-20.125,-16.586,0.032,-0.017,0.749,0,0,-12,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/13/2025 1:15:34 AM,2,1739434534000,42.100,13.284,-20.188,-16.730,0.032,-0.016,0.749,0,0,-12,0.941,8,-1.000,0.858,1.460,0.000,0x1fff
2/13/2025 1:25:34 AM,2,1739435134000,39.400,13.276,-20.000,-16.730,0.032,-0.018,0.749,0,0,-12,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/13/2025 1:35:34 AM,2,1739435734000,42.500,13.276,-20.000,-16.634,0.032,-0.017,0.749,0,0,-12,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/13/2025 1:45:34 AM,2,1739436334000,39.300,13.276,-19.688,-16.395,0.032,-0.018,0.748,0,0,-12,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/13/2025 1:55:34 AM,2,1739436934000,40.900,13.272,-19.563,-16.443,0.032,-0.017,0.748,0,0,-11,0.945,5,-1.000,0.854,1.460,0.000,0x1fff
2/13/2025 2:05:34 AM,2,1739437534000,42.500,13.272,-19.438,-16.107,0.032,-0.018,0.748,0,0,-11,0.942,5,-1.000,0.857,1.460,0.000,0x1fff
2/13/2025 2:15:34 AM,2,1739438134000,37.800,13.268,-18.438,-15.053,0.032,-0.019,0.748,0,0,-10,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/13/2025 2:25:34 AM,2,1739438734000,40.200,13.264,-17.813,-14.478,0.031,-0.020,0.748,0,0,-10,0.939,5,-1.000,0.860,1.460,0.000,0x1fff
2/13/2025 2:35:34 AM,2,1739439334000,38.800,13.264,-18.188,-14.670,0.031,-0.019,0.748,0,0,-10,0.939,5,-1.000,0.860,1.460,0.000,0x1fff
2/13/2025 2:45:34 AM,2,1739439934000,41.700,13.260,-18.875,-15.436,0.032,-0.019,0.748,0,0,-11,0.940,5,-1.000,0.859,1.460,0.000,0x1fff
2/13/2025 2:55:34 AM,2,1739440534000,42.500,13.264,-20.375,-16.826,0.032,-0.017,0.748,0,0,-12,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/13/2025 3:05:34 AM,2,1739441134000,38.500,13.260,-21.063,-17.641,0.033,-0.017,0.747,0,0,-13,0.943,5,-1.000,0.856,1.460,0.000,0x1fff
2/13/2025 3:15:34 AM,2,1739441734000,41.300,13.256,-20.625,-17.162,0.033,-0.017,0.747,0,0,-12,0.943,5,-1.000,0.856,1.460,0.000,0x1fff
2/13/2025 3:25:34 AM,2,1739442334000,42.300,13.252,-19.750,-16.491,0.033,-0.018,0.747,0,0,-12,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
2/13/2025 3:35:34 AM,2,1739442934000,43.300,13.256,-19.438,-16.251,0.032,-0.018,0.747,0,0,-11,0.941,5,-1.000,0.858,1.460,0.000,0x1fff
