"Plot Title: site0km"
"#","Date Time, GMT-06:00","Pressure, mbar (LGR S/N: 21623142, SEN S/N: 21318866, LBL: Barometric pressure)","Voltage, V (LGR S/N: 21623142, SEN S/N: 21378804)","Wind Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: ws)","Gust Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: gst)","Wind Direction, ø (LGR S/N: 21623142, SEN S/N: 21534754, LBL: wd)","Temp, °C (LGR S/N: 21623142, SEN S/N: 21549907, LBL: t)","RH, % (LGR S/N: 21623142, SEN S/N: 21549907, LBL: rh)"
1,03/29/23 08:01:56 PM,1069.350,-0.1937,84.49,84.49,313.1,-1.689,99.997
2,03/29/23 08:11:56 PM,1069.350,-0.1937,7.35,8.68,292.0,-1.785,99.997
3,03/29/23 08:21:56 PM,1069.350,-0.1937,7.68,9.35,293.4,-1.844,99.997
4,03/29/23 08:31:56 PM,1069.350,-0.1937,8.02,9.35,289.2,-1.978,99.992
5,03/29/23 08:41:56 PM,1069.350,-0.1937,7.68,9.02,286.4,-2.096,99.997
6,03/29/23 08:51:56 PM,1069.350,-0.1937,7.68,9.02,285.0,-2.161,99.969
7,03/29/23 09:01:56 PM,1069.350,-0.1937,7.68,8.68,282.2,-2.228,99.977
8,03/29/23 09:11:56 PM,1069.350,-0.1937,7.01,8.35,275.2,-2.254,99.991
9,03/29/23 09:21:56 PM,1069.350,-0.1937,6.35,7.68,272.4,-2.228,99.997
10,03/29/23 09:31:56 PM,1069.350,-0.1937,5.68,7.01,275.2,-2.171,99.997
11,03/29/23 09:41:56 PM,1069.350,-0.1937,6.68,7.68,273.8,-2.110,99.997
12,03/29/23 09:51:56 PM,1069.350,-0.1937,7.01,8.35,275.2,-2.072,99.997
13,03/29/23 10:01:56 PM,1069.350,-0.1937,8.35,11.02,276.6,-2.166,99.911
14,03/29/23 10:11:56 PM,1069.350,-0.1937,9.02,11.35,280.8,-2.541,99.899
15,03/29/23 10:21:56 PM,1069.350,-0.1937,9.02,10.69,290.6,-2.657,99.821
16,03/29/23 10:31:56 PM,1069.350,-0.1937,9.02,10.69,290.6,-2.946,99.756
17,03/29/23 10:41:56 PM,1069.350,-0.1937,8.35,9.68,293.4,-3.027,99.860
18,03/29/23 10:51:56 PM,1069.350,-0.1937,7.68,9.35,292.0,-2.981,99.881
19,03/29/23 11:01:56 PM,1069.350,-0.1937,8.35,11.02,290.6,-3.069,99.838
20,03/29/23 11:11:56 PM,1069.350,-0.1937,9.02,11.02,292.0,-3.128,99.861
21,03/29/23 11:21:56 PM,1069.350,-0.1937,9.02,10.35,294.8,-3.182,99.803
22,03/29/23 11:31:56 PM,1069.350,-0.1937,9.35,11.02,294.8,-3.230,99.828
23,03/29/23 11:41:56 PM,1069.350,-0.1937,8.02,9.35,293.4,-3.139,99.927
24,03/29/23 11:51:56 PM,1069.350,-0.1937,8.02,9.35,294.8,-3.027,99.940
25,03/30/23 12:01:56 AM,1069.350,-0.1937,7.68,9.02,292.0,-2.994,99.919
26,03/30/23 12:11:56 AM,1069.350,-0.1937,6.68,8.02,294.8,-2.994,99.959
27,03/30/23 12:21:56 AM,1069.350,-0.1937,6.35,7.68,293.4,-2.989,99.957
28,03/30/23 12:31:56 AM,1069.350,-0.1937,6.01,7.35,286.4,-2.997,99.966
29,03/30/23 12:41:56 AM,1069.350,-0.1937,6.35,8.35,280.8,-3.000,99.942
30,03/30/23 12:51:56 AM,1069.350,-0.1937,8.02,9.68,276.6,-3.005,99.869
31,03/30/23 01:01:56 AM,1069.350,-0.1937,8.68,10.35,278.0,-2.927,99.825
32,03/30/23 01:11:56 AM,1069.350,-0.1937,9.35,11.02,278.0,-2.882,99.779
33,03/30/23 01:21:56 AM,1069.350,-0.1937,9.02,10.02,282.2,-2.930,99.748
34,03/30/23 01:31:56 AM,1069.350,-0.1937,8.35,9.68,285.0,-2.984,99.791
35,03/30/23 01:41:56 AM,1069.350,-0.1937,8.02,9.35,283.6,-3.002,99.854
36,03/30/23 01:51:56 AM,1069.350,-0.1937,8.02,10.35,280.8,-2.962,99.911
