"Plot Title: site1km"
"#","Date Time, GMT-07:00","Pressure, mbar (LGR S/N: 21623136, SEN S/N: 21318865)","Voltage, V (LGR S/N: 21623136, SEN S/N: 21378796)","Current, mA (LGR S/N: 21623136, SEN S/N: 21378796)","Temp, °C (LGR S/N: 21623136, SEN S/N: 21549906)","RH, % (LGR S/N: 21623136, SEN S/N: 21549906)","Wind Speed, m/s (LGR S/N: 21623136, SEN S/N: 21550054)","Gust Speed, m/s (LGR S/N: 21623136, SEN S/N: 21550054)","Wind Direction, ø (LGR S/N: 21623136, SEN S/N: 21550054)"
1,01/06/23 04:37:49 PM,837.850,-0.2039,0.0000,0.255,82.203,6.35,7.68,303.2
2,01/06/23 04:47:49 PM,837.950,-0.2039,0.0000,0.008,83.554,5.68,7.01,306.1
3,01/06/23 04:57:49 PM,837.950,-0.1988,0.0000,-0.123,83.934,5.68,7.01,301.8
4,01/06/23 05:07:49 PM,837.950,-0.2039,0.0000,-0.185,83.742,5.34,7.01,303.2
5,01/06/23 05:17:49 PM,838.050,-0.1988,0.0000,-0.228,82.181,4.01,4.68,303.2
6,01/06/23 05:27:49 PM,838.050,-0.2039,0.0000,-0.742,85.083,3.01,4.68,303.2
7,01/06/23 05:37:49 PM,838.150,-0.1988,0.0000,-1.056,86.804,0.67,2.00,324.3
8,01/06/23 05:47:49 PM,838.150,-0.2039,0.0000,-1.729,87.652,1.00,2.67,22.5
9,01/06/23 05:57:49 PM,838.250,-0.2039,0.0000,-2.737,89.220,0.67,2.00,47.7
10,01/06/23 06:07:49 PM,838.350,-0.2039,0.0000,-2.330,88.914,0.00,0.33,2.8
11,01/06/23 06:17:49 PM,838.450,-0.2039,0.0000,-3.327,88.836,1.00,1.67,268.1
12,01/06/23 06:27:49 PM,838.450,-0.2039,0.0000,-2.917,91.812,1.67,2.00,289.2
13,01/06/23 06:37:49 PM,838.650,-0.2039,0.0000,-2.321,85.559,1.34,2.34,286.4
14,01/06/23 06:47:49 PM,838.650,-0.2039,0.0000,-4.260,87.190,1.67,3.34,279.4
15,01/06/23 06:57:49 PM,838.650,-0.2039,0.0000,-4.271,88.336,2.34,3.67,268.1
16,01/06/23 07:07:49 PM,838.750,-0.2039,0.0000,-3.453,85.499,1.67,3.01,255.5
17,01/06/23 07:17:49 PM,838.850,-0.1988,0.0000,-3.809,86.299,0.67,3.01,317.3
18,01/06/23 07:27:49 PM,838.850,-0.2039,0.0000,-2.823,82.780,1.00,2.67,286.4
19,01/06/23 07:37:49 PM,838.950,-0.2039,0.0000,-3.925,86.984,0.33,1.34,42.1
20,01/06/23 07:47:49 PM,838.950,-0.2039,0.0000,-4.595,88.325,0.00,0.67,59.0
21,01/06/23 07:57:49 PM,838.950,-0.2039,0.0000,-4.069,87.794,0.00,0.67,46.3
22,01/06/23 08:07:49 PM,839.050,-0.1988,0.0000,-4.630,83.494,0.00,0.33,355.2
23,01/06/23 08:17:49 PM,839.050,-0.1988,0.0000,-6.287,90.135,0.00,0.00,355.2
24,01/06/23 08:27:49 PM,839.150,-0.2039,0.0000,-6.842,92.883,0.00,0.00,355.2
25,01/06/23 08:37:49 PM,839.250,-0.1988,0.0000,-5.946,93.115,0.00,0.00,355.2
26,01/06/23 08:47:49 PM,839.250,-0.2039,0.0000,-5.836,93.126,0.00,0.00,355.2
27,01/06/23 08:57:49 PM,839.250,-0.2039,0.0000,-5.485,94.429,0.00,1.00,14.0
28,01/06/23 09:07:49 PM,839.250,-0.2039,0.0000,-4.080,89.427,0.00,0.67,351.0
29,01/06/23 09:17:49 PM,839.250,-0.2039,0.0000,-4.198,88.252,0.00,0.33,293.4
30,01/06/23 09:27:49 PM,839.350,-0.1988,0.0000,-5.053,87.301,0.00,0.00,314.5
31,01/06/23 09:37:49 PM,839.450,-0.1988,0.0000,-5.303,92.093,0.33,1.00,9.8
32,01/06/23 09:47:49 PM,839.450,-0.2039,0.0000,-6.035,88.618,0.33,1.34,44.9
33,01/06/23 09:57:49 PM,839.450,-0.2039,0.0000,-4.962,92.598,1.34,1.67,33.7
34,01/06/23 10:07:49 PM,839.350,-0.2039,0.0000,-5.099,91.273,1.00,1.67,28.1
35,01/06/23 10:17:49 PM,839.450,-0.1988,0.0000,-6.716,88.360,0.33,1.00,37.9
36,01/06/23 10:27:49 PM,839.550,-0.2039,0.0000,-9.134,93.437,0.00,0.33,50.5
37,01/06/23 10:37:49 PM,839.750,-0.2039,0.0000,-10.255,97.261,0.00,0.00,57.6
38,01/06/23 10:47:49 PM,839.750,-0.2039,0.0000,-10.362,98.601,0.00,0.00,57.6
39,01/06/23 10:57:49 PM,839.850,-0.1988,0.0000,-10.413,98.784,0.00,0.67,57.6
40,01/06/23 11:07:49 PM,839.750,-0.2039,0.0000,-10.214,97.719,0.67,1.00,49.1
41,01/06/23 11:17:49 PM,839.750,-0.1988,0.0000,-9.944,96.707,0.33,0.67,46.3
42,01/06/23 11:27:49 PM,839.850,-0.2039,0.0000,-10.504,97.259,0.00,0.00,46.3
43,01/06/23 11:37:49 PM,839.850,-0.1988,0.0000,-10.029,98.886,0.00,0.00,46.3
44,01/06/23 11:47:49 PM,839.850,-0.1988,0.0000,-9.287,97.955,0.00,0.33,46.3
45,01/06/23 11:57:49 PM,839.750,-0.2039,0.0000,-8.496,98.224,0.00,0.67,46.3
46,01/07/23 12:07:49 AM,839.750,-0.2039,0.0000,-8.450,95.727,0.00,0.33,46.3
47,01/07/23 12:17:49 AM,839.750,-0.1988,0.0000,-8.651,97.035,0.00,0.00,46.3
48,01/07/23 12:27:49 AM,839.850,-0.2039,0.0000,-8.174,96.637,0.00,0.00,46.3
49,01/07/23 12:37:49 AM,839.750,-0.1988,0.0000,-7.973,97.154,0.00,0.33,46.3
50,01/07/23 12:47:49 AM,839.650,-0.1988,0.0000,-7.691,99.493,0.00,0.00,46.3
51,01/07/23 12:57:49 AM,839.650,-0.2039,0.0000,-7.619,99.803,0.00,0.33,46.3
52,01/07/23 01:07:49 AM,839.650,-0.2039,0.0000,-7.638,99.962,0.00,0.00,46.3
53,01/07/23 01:17:49 AM,839.550,-0.2039,0.0000,-7.563,99.997,0.00,0.00,46.3
54,01/07/23 01:27:49 AM,839.450,-0.2039,0.0000,-7.410,99.373,0.00,0.00,51.9
55,01/07/23 01:37:49 AM,839.450,-0.2039,0.0000,-7.305,97.179,0.33,0.67,105.3
56,01/07/23 01:47:49 AM,839.450,-0.2039,0.0000,-7.319,95.645,0.33,0.67,108.1
57,01/07/23 01:57:49 AM,839.450,-0.1988,0.0000,-7.123,95.650,0.67,1.00,106.7
58,01/07/23 02:07:49 AM,839.350,-0.1988,0.0000,-7.311,94.974,0.33,0.67,105.3
59,01/07/23 02:17:49 AM,839.450,-0.2039,0.0000,-7.423,95.080,0.67,1.34,115.1
60,01/07/23 02:27:49 AM,839.550,-0.2039,0.0000,-7.670,94.707,0.67,1.00,133.4
61,01/07/23 02:37:49 AM,839.450,-0.2039,0.0000,-7.686,94.871,0.67,1.34,124.9
62,01/07/23 02:47:49 AM,839.550,-0.1988,0.0000,-8.016,94.524,0.33,1.00,124.9
63,01/07/23 02:57:49 AM,839.450,-0.2039,0.0000,-7.879,94.755,0.33,1.00,151.6
64,01/07/23 03:07:49 AM,839.450,-0.1988,0.0000,-7.777,94.792,0.00,1.00,144.6
